1,"Güclü və qatı, yüksək təzyiqlə dəmlənmiş qəhvənin təməli.",https://webcdn.severin.com/wp-content/uploads/2025/08/GettyImages-1884094684-scaled.jpg?lossy=1&w=1920&ssl=1,Espresso (Single),2.5
2,"Espresso üzərinə isti su əlavə edilərək hazırlanır; güclü, lakin yüngül dad.",https://webcdn.severin.com/wp-content/uploads/2025/08/GettyImages-1859646927-scaled.jpg?lossy=1&w=1920&ssl=1,Americano,3
3,"Bərabər miqdarda espresso, isti süd və süd köpüyü ilə hazırlanır.",https://webcdn.severin.com/wp-content/uploads/2025/08/Fakt8-1024x576.png?lossy=1&ssl=1,Cappuccino,4.5
4,Daha çox isti süd və üzərində nazik bir süd köpüyü qatı olan espresso əsaslı içki.,https://webcdn.severin.com/wp-content/uploads/2025/08/Fakt9-1024x576.png?lossy=1&ssl=1,Latte,4.5
5,Latteyə şokolad sirobu əlavə olunur; şirin və zəngin dad.,https://assets.clevelandclinic.org/transform/LargeFeatureImage/474c3230-b9d0-4fd7-9361-a864bda5cd62/fresh-brewed-coffee-892674106,Mocha,5.5
6,"Minimal köpüklə, ikiqat espresso əsasında hazırlanmış məxməri teksturalı içki.",https://assets.clevelandclinic.org/transform/LargeFeatureImage/34c74879-33e1-44d2-b560-8dfce93b4bb2/bulletlproofCoffee-1130393880-770x533-1_jpg,Flat White,4.8
7,Qəhvə çəyirdəklərinin 12-24 saat ərzində soyuq suda dəmlənməsi nəticəsində əldə edilir.,https://www.datocms-assets.com/20941/1663765103-best-coffee-drinks.png?auto=format&dpr=0.71&fit=max&w=1200,Cold Brew,5
8,"Buz, espresso və siropların blenderdə qarışdırılması ilə hazırlanan soyuq qəhvə.",https://www.datocms-assets.com/20941/1663765229-best-coffee-drinks-espresso.png?auto=format&dpr=0.52&fit=max&w=1650,Frappuccino,6.5
9,"Ətirli, turşulu və zərif dada malik 100% Arabica çəyirdəkləri.",https://www.datocms-assets.com/20941/1663765350-best-coffee-drinks-espresso-method.jpeg?auto=format&dpr=0.21&fit=max&w=4224,Arabica Çəyirdəkləri (250q),18
10,"Güclü, acı dadı və yüksək kofein tərkibi ilə seçilən çəyirdəklər.",https://www.datocms-assets.com/20941/1663765414-best-coffee-drinks-flat-white.png?auto=format&dpr=0.52&fit=max&w=1650,Robusta Çəyirdəkləri (250q),12
11,Çox incə üyüdülmüş qəhvənin Cəzvədə qaynadılması ilə hazırlanan ənənəvi içki.,https://www.datocms-assets.com/20941/1663776930-best-coffee-drinks-coffee-beans.png?auto=format&dpr=0.52&fit=max&w=1650,Türk Qəhvəsi,3.5
12,"Vanil siroplu süd, espresso shot-u və karamel sousu ilə bəzədilir.",https://www.datocms-assets.com/20941/1663765612-best-coffee-drinks-frappuccino.png?auto=format&dpr=0.52&fit=max&w=1650,Karamel Macchiato,5.8
